# @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
# Peter Rasmussen, Lab 4
# Unsorted and sorted lists and sorted list performance metrics.
# Input file: /users/peter/PycharmProjects/PRasmussenLab4/resources/inputs/ran500.dat
# Output file: /users/peter/PycharmProjects/PRasmussenLab4/resources/outputs/ran500.csv

metric,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge
104,334,105,105,105,105
105,19,106,106,106,106
106,18,107,107,107,107
107,116,108,108,108,108
108,4,109,109,109,109
109,42,110,110,110,110
110,443,111,111,111,111
111,122,112,112,112,112
112,340,113,113,113,113
113,426,114,114,114,114
114,400,115,115,115,115
115,269,116,116,116,116
116,480,117,117,117,117
117,314,118,118,118,118
118,224,119,119,119,119
119,313,120,120,120,120
120,347,121,121,121,121
121,88,122,122,122,122
122,167,123,123,123,123
123,293,124,124,124,124
124,440,125,125,125,125
125,381,126,126,126,126
126,252,127,127,127,127
127,162,128,128,128,128
128,2,129,129,129,129
129,278,130,130,130,130
130,386,131,131,131,131
131,98,132,132,132,132
132,497,133,133,133,133
133,59,134,134,134,134
134,324,135,135,135,135
135,152,136,136,136,136
136,128,137,137,137,137
137,465,138,138,138,138
138,449,139,139,139,139
139,60,140,140,140,140
140,464,141,141,141,141
141,202,142,142,142,142
142,63,143,143,143,143
143,357,144,144,144,144
144,372,145,145,145,145
145,65,146,146,146,146
146,348,147,147,147,147
147,22,148,148,148,148
148,40,149,149,149,149
149,41,150,150,150,150
150,354,151,151,151,151
151,436,152,152,152,152
152,446,153,153,153,153
153,474,154,154,154,154
154,455,155,155,155,155
155,13,156,156,156,156
156,243,157,157,157,157
157,378,158,158,158,158
158,399,159,159,159,159
159,90,160,160,160,160
160,291,161,161,161,161
161,308,162,162,162,162
162,16,163,163,163,163
163,64,164,164,164,164
164,140,165,165,165,165
165,358,166,166,166,166
166,339,167,167,167,167
167,100,168,168,168,168
168,454,169,169,169,169
169,240,170,170,170,170
170,175,171,171,171,171
171,462,172,172,172,172
172,153,173,173,173,173
173,234,174,174,174,174
174,349,175,175,175,175
175,292,176,176,176,176
176,471,177,177,177,177
177,106,178,178,178,178
178,415,179,179,179,179
179,413,180,180,180,180
180,284,181,181,181,181
181,173,182,182,182,182
182,141,183,183,183,183
183,335,184,184,184,184
184,147,185,185,185,185
185,341,186,186,186,186
186,309,187,187,187,187
187,460,188,188,188,188
188,295,189,189,189,189
189,402,190,190,190,190
190,107,191,191,191,191
191,283,192,192,192,192
192,15,193,193,193,193
193,453,194,194,194,194
194,379,195,195,195,195
195,418,196,196,196,196
196,150,197,197,197,197
197,158,198,198,198,198
198,498,199,199,199,199
199,481,200,200,200,200
200,298,201,201,201,201
201,288,202,202,202,202
202,221,203,203,203,203
203,170,204,204,204,204
204,126,205,205,205,205
205,458,206,206,206,206
206,37,207,207,207,207
207,394,208,208,208,208
208,58,209,209,209,209
209,136,210,210,210,210
210,350,211,211,211,211
211,247,212,212,212,212
212,96,213,213,213,213
213,257,214,214,214,214
214,398,215,215,215,215
215,414,216,216,216,216
216,286,217,217,217,217
217,353,218,218,218,218
218,223,219,219,219,219
219,87,220,220,220,220
220,211,221,221,221,221
221,333,222,222,222,222
222,70,223,223,223,223
223,245,224,224,224,224
224,17,225,225,225,225
225,138,226,226,226,226
226,215,227,227,227,227
227,401,228,228,228,228
228,14,229,229,229,229
229,97,230,230,230,230
230,32,231,231,231,231
231,218,232,232,232,232
232,421,233,233,233,233
233,39,234,234,234,234
234,171,235,235,235,235
235,165,236,236,236,236
236,445,237,237,237,237
237,388,238,238,238,238
238,383,239,239,239,239
239,396,240,240,240,240
240,51,241,241,241,241
241,432,242,242,242,242
242,232,243,243,243,243
243,124,244,244,244,244
244,296,245,245,245,245
245,467,246,246,246,246
246,397,247,247,247,247
247,55,248,248,248,248
248,30,249,249,249,249
249,135,250,250,250,250
250,99,251,251,251,251
251,25,252,252,252,252
252,260,253,253,253,253
253,405,254,254,254,254
254,57,255,255,255,255
255,148,256,256,256,256
256,456,257,257,257,257
257,208,258,258,258,258
258,130,259,259,259,259
259,430,260,260,260,260
260,250,261,261,261,261
261,92,262,262,262,262
262,438,263,263,263,263
263,142,264,264,264,264
264,83,265,265,265,265
265,213,266,266,266,266
266,226,267,267,267,267
267,469,268,268,268,268
268,259,269,269,269,269
269,112,270,270,270,270
270,110,271,271,271,271
271,62,272,272,272,272
272,206,273,273,273,273
273,48,274,274,274,274
274,193,275,275,275,275
275,249,276,276,276,276
276,362,277,277,277,277
277,21,278,278,278,278
278,390,279,279,279,279
279,315,280,280,280,280
280,303,281,281,281,281
281,67,282,282,282,282
282,177,283,283,283,283
283,345,284,284,284,284
284,302,285,285,285,285
285,463,286,286,286,286
286,3,287,287,287,287
287,419,288,288,288,288
288,12,289,289,289,289
289,185,290,290,290,290
290,305,291,291,291,291
291,188,292,292,292,292
292,11,293,293,293,293
293,407,294,294,294,294
294,447,295,295,295,295
295,209,296,296,296,296
296,499,297,297,297,297
297,156,298,298,298,298
298,285,299,299,299,299
299,225,300,300,300,300
300,373,301,301,301,301
301,366,302,302,302,302
302,236,303,303,303,303
303,178,304,304,304,304
304,280,305,305,305,305
305,33,306,306,306,306
306,491,307,307,307,307
307,61,308,308,308,308
308,262,309,309,309,309
309,174,310,310,310,310
310,441,311,311,311,311
311,76,312,312,312,312
312,227,313,313,313,313
313,482,314,314,314,314
314,318,315,315,315,315
315,237,316,316,316,316
316,389,317,317,317,317
317,265,318,318,318,318
318,457,319,319,319,319
319,210,320,320,320,320
320,73,321,321,321,321
321,69,322,322,322,322
322,159,323,323,323,323
323,361,324,324,324,324
324,114,325,325,325,325
325,241,326,326,326,326
326,384,327,327,327,327
327,375,328,328,328,328
328,412,329,329,329,329
329,256,330,330,330,330
330,276,331,331,331,331
331,301,332,332,332,332
332,404,333,333,333,333
333,8,334,334,334,334
334,35,335,335,335,335
335,331,336,336,336,336
336,352,337,337,337,337
337,486,338,338,338,338
338,101,339,339,339,339
339,77,340,340,340,340
340,444,341,341,341,341
341,56,342,342,342,342
342,155,343,343,343,343
343,113,344,344,344,344
344,9,345,345,345,345
345,194,346,346,346,346
346,94,347,347,347,347
347,297,348,348,348,348
348,183,349,349,349,349
349,151,350,350,350,350
350,149,351,351,351,351
351,189,352,352,352,352
352,119,353,353,353,353
353,157,354,354,354,354
354,125,355,355,355,355
355,86,356,356,356,356
356,500,357,357,357,357
357,472,358,358,358,358
358,289,359,359,359,359
359,321,360,360,360,360
360,43,361,361,361,361
361,47,362,362,362,362
362,473,363,363,363,363
363,437,364,364,364,364
364,233,365,365,365,365
365,311,366,366,366,366
366,229,367,367,367,367
367,103,368,368,368,368
368,494,369,369,369,369
369,84,370,370,370,370
370,326,371,371,371,371
371,342,372,372,372,372
372,7,373,373,373,373
373,267,374,374,374,374
374,300,375,375,375,375
375,139,376,376,376,376
376,424,377,377,377,377
377,281,378,378,378,378
378,322,379,379,379,379
379,6,380,380,380,380
380,133,381,381,381,381
381,5,382,382,382,382
382,263,383,383,383,383
383,182,384,384,384,384
384,299,385,385,385,385
385,89,386,386,386,386
386,327,387,387,387,387
387,434,388,388,388,388
388,200,389,389,389,389
389,435,390,390,390,390
390,282,391,391,391,391
391,199,392,392,392,392
392,29,393,393,393,393
393,409,394,394,394,394
394,161,395,395,395,395
395,484,396,396,396,396
396,408,397,397,397,397
397,477,398,398,398,398
398,266,399,399,399,399
399,268,400,400,400,400
400,132,401,401,401,401
401,186,402,402,402,402
402,134,403,403,403,403
403,279,404,404,404,404
404,38,405,405,405,405
405,180,406,406,406,406
406,192,407,407,407,407
407,168,408,408,408,408
408,115,409,409,409,409
409,217,410,410,410,410
410,127,411,411,411,411
411,369,412,412,412,412
412,31,413,413,413,413
413,427,414,414,414,414
414,145,415,415,415,415
415,179,416,416,416,416
416,216,417,417,417,417
417,20,418,418,418,418
418,28,419,419,419,419
419,251,420,420,420,420
420,452,421,421,421,421
421,244,422,422,422,422
422,273,423,423,423,423
423,336,424,424,424,424
424,307,425,425,425,425
425,329,426,426,426,426
426,332,427,427,427,427
427,479,428,428,428,428
428,306,429,429,429,429
429,429,430,430,430,430
430,104,431,431,431,431
431,79,432,432,432,432
432,368,433,433,433,433
433,277,434,434,434,434
434,310,435,435,435,435
435,163,436,436,436,436
436,230,437,437,437,437
437,450,438,438,438,438
438,411,439,439,439,439
439,198,440,440,440,440
440,392,441,441,441,441
441,271,442,442,442,442
442,344,443,443,443,443
443,212,444,444,444,444
444,476,445,445,445,445
445,214,446,446,446,446
446,1,447,447,447,447
447,385,448,448,448,448
448,36,449,449,449,449
449,312,450,450,450,450
450,320,451,451,451,451
451,351,452,452,452,452
452,52,453,453,453,453
453,195,454,454,454,454
454,403,455,455,455,455
455,317,456,456,456,456
456,254,457,457,457,457
457,34,458,458,458,458
458,207,459,459,459,459
459,451,460,460,460,460
460,81,461,461,461,461
461,433,462,462,462,462
462,330,463,463,463,463
463,382,464,464,464,464
464,294,465,465,465,465
465,24,466,466,466,466
466,442,467,467,467,467
467,54,468,468,468,468
468,422,469,469,469,469
469,406,470,470,470,470
470,26,471,471,471,471
471,488,472,472,472,472
472,197,473,473,473,473
473,46,474,474,474,474
474,264,475,475,475,475
475,304,476,476,476,476
476,316,477,477,477,477
477,196,478,478,478,478
478,255,479,479,479,479
479,109,480,480,480,480
480,248,481,481,481,481
481,239,482,482,482,482
482,490,483,483,483,483
483,220,484,484,484,484
484,123,485,485,485,485
485,337,486,486,486,486
486,71,487,487,487,487
487,478,488,488,488,488
488,131,489,489,489,489
489,425,490,490,490,490
490,72,491,491,491,491
491,416,492,492,492,492
492,23,493,493,493,493
493,10,494,494,494,494
494,363,495,495,495,495
495,393,496,496,496,496
496,102,497,497,497,497
497,287,498,498,498,498
498,496,499,499,499,499
499,242,500,500,500,500
