# @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
# Peter Rasmussen, Lab 4
# Unsorted and sorted lists and sorted list performance metrics.
# Input file: /users/peter/PycharmProjects/PRasmussenLab4/resources/inputs/ran2k.dat
# Output file: /users/peter/PycharmProjects/PRasmussenLab4/resources/outputs/ran2k.csv

metric,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge
251,492,252,252,252,252
252,1383,253,253,253,253
253,1679,254,254,254,254
254,44,255,255,255,255
255,1758,256,256,256,256
256,1209,257,257,257,257
257,692,258,258,258,258
258,30,259,259,259,259
259,667,260,260,260,260
260,1069,261,261,261,261
261,1376,262,262,262,262
262,1175,263,263,263,263
263,541,264,264,264,264
264,1998,265,265,265,265
265,1993,266,266,266,266
266,433,267,267,267,267
267,885,268,268,268,268
268,1286,269,269,269,269
269,1630,270,270,270,270
270,1056,271,271,271,271
271,794,272,272,272,272
272,397,273,273,273,273
273,65,274,274,274,274
274,1247,275,275,275,275
275,562,276,276,276,276
276,1027,277,277,277,277
277,1267,278,278,278,278
278,40,279,279,279,279
279,1934,280,280,280,280
280,1066,281,281,281,281
281,1320,282,282,282,282
282,1765,283,283,283,283
283,172,284,284,284,284
284,370,285,285,285,285
285,438,286,286,286,286
286,117,287,287,287,287
287,417,288,288,288,288
288,22,289,289,289,289
289,473,290,290,290,290
290,183,291,291,291,291
291,1553,292,292,292,292
292,1710,293,293,293,293
293,1377,294,294,294,294
294,409,295,295,295,295
295,350,296,296,296,296
296,1985,297,297,297,297
297,307,298,298,298,298
298,1952,299,299,299,299
299,378,300,300,300,300
300,1049,301,301,301,301
301,314,302,302,302,302
302,827,303,303,303,303
303,262,304,304,304,304
304,874,305,305,305,305
305,596,306,306,306,306
306,1176,307,307,307,307
307,1580,308,308,308,308
308,751,309,309,309,309
309,921,310,310,310,310
310,14,311,311,311,311
311,616,312,312,312,312
312,695,313,313,313,313
313,1748,314,314,314,314
314,356,315,315,315,315
315,1297,316,316,316,316
316,332,317,317,317,317
317,1989,318,318,318,318
318,821,319,319,319,319
319,420,320,320,320,320
320,1876,321,321,321,321
321,1693,322,322,322,322
322,1535,323,323,323,323
323,1668,324,324,324,324
324,352,325,325,325,325
325,1881,326,326,326,326
326,1856,327,327,327,327
327,1941,328,328,328,328
328,722,329,329,329,329
329,413,330,330,330,330
330,1062,331,331,331,331
331,6,332,332,332,332
332,1268,333,333,333,333
333,389,334,334,334,334
334,1031,335,335,335,335
335,1392,336,336,336,336
336,363,337,337,337,337
337,584,338,338,338,338
338,1233,339,339,339,339
339,213,340,340,340,340
340,1194,341,341,341,341
341,351,342,342,342,342
342,1491,343,343,343,343
343,1496,344,344,344,344
344,1900,345,345,345,345
345,599,346,346,346,346
346,228,347,347,347,347
347,1127,348,348,348,348
348,1385,349,349,349,349
349,703,350,350,350,350
350,1532,351,351,351,351
351,968,352,352,352,352
352,1372,353,353,353,353
353,461,354,354,354,354
354,300,355,355,355,355
355,1370,356,356,356,356
356,1303,357,357,357,357
357,1725,358,358,358,358
358,557,359,359,359,359
359,1505,360,360,360,360
360,647,361,361,361,361
361,199,362,362,362,362
362,940,363,363,363,363
363,856,364,364,364,364
364,1956,365,365,365,365
365,432,366,366,366,366
366,507,367,367,367,367
367,1260,368,368,368,368
368,1410,369,369,369,369
369,783,370,370,370,370
370,1741,371,371,371,371
371,752,372,372,372,372
372,742,373,373,373,373
373,1296,374,374,374,374
374,1280,375,375,375,375
375,949,376,376,376,376
376,919,377,377,377,377
377,1097,378,378,378,378
378,1878,379,379,379,379
379,1853,380,380,380,380
380,1339,381,381,381,381
381,846,382,382,382,382
382,1705,383,383,383,383
383,1599,384,384,384,384
384,210,385,385,385,385
385,167,386,386,386,386
386,452,387,387,387,387
387,1577,388,388,388,388
388,683,389,389,389,389
389,946,390,390,390,390
390,1264,391,391,391,391
391,269,392,392,392,392
392,1394,393,393,393,393
393,477,394,394,394,394
394,1081,395,395,395,395
395,399,396,396,396,396
396,437,397,397,397,397
397,1002,398,398,398,398
398,233,399,399,399,399
399,140,400,400,400,400
400,196,401,401,401,401
401,1371,402,402,402,402
402,230,403,403,403,403
403,1334,404,404,404,404
404,1124,405,405,405,405
405,220,406,406,406,406
406,812,407,407,407,407
407,1450,408,408,408,408
408,380,409,409,409,409
409,8,410,410,410,410
410,419,411,411,411,411
411,734,412,412,412,412
412,1923,413,413,413,413
413,560,414,414,414,414
414,1593,415,415,415,415
415,289,416,416,416,416
416,1255,417,417,417,417
417,1789,418,418,418,418
418,1129,419,419,419,419
419,548,420,420,420,420
420,1859,421,421,421,421
421,506,422,422,422,422
422,1020,423,423,423,423
423,1368,424,424,424,424
424,801,425,425,425,425
425,1984,426,426,426,426
426,534,427,427,427,427
427,1868,428,428,428,428
428,1232,429,429,429,429
429,746,430,430,430,430
430,1818,431,431,431,431
431,978,432,432,432,432
432,442,433,433,433,433
433,1057,434,434,434,434
434,1589,435,435,435,435
435,1024,436,436,436,436
436,440,437,437,437,437
437,592,438,438,438,438
438,375,439,439,439,439
439,1832,440,440,440,440
440,944,441,441,441,441
441,342,442,442,442,442
442,1681,443,443,443,443
443,1790,444,444,444,444
444,908,445,445,445,445
445,1833,446,446,446,446
446,750,447,447,447,447
447,476,448,448,448,448
448,1560,449,449,449,449
449,304,450,450,450,450
450,873,451,451,451,451
451,902,452,452,452,452
452,9,453,453,453,453
453,374,454,454,454,454
454,1950,455,455,455,455
455,847,456,456,456,456
456,925,457,457,457,457
457,1600,458,458,458,458
458,365,459,459,459,459
459,1246,460,460,460,460
460,1301,461,461,461,461
461,205,462,462,462,462
462,564,463,463,463,463
463,326,464,464,464,464
464,870,465,465,465,465
465,1471,466,466,466,466
466,689,467,467,467,467
467,71,468,468,468,468
468,1800,469,469,469,469
469,1026,470,470,470,470
470,1498,471,471,471,471
471,1932,472,472,472,472
472,1352,473,473,473,473
473,676,474,474,474,474
474,83,475,475,475,475
475,653,476,476,476,476
476,241,477,477,477,477
477,1977,478,478,478,478
478,1770,479,479,479,479
479,1595,480,480,480,480
480,784,481,481,481,481
481,1564,482,482,482,482
482,1986,483,483,483,483
483,115,484,484,484,484
484,327,485,485,485,485
485,308,486,486,486,486
486,100,487,487,487,487
487,1816,488,488,488,488
488,1744,489,489,489,489
489,1817,490,490,490,490
490,630,491,491,491,491
491,608,492,492,492,492
492,852,493,493,493,493
493,766,494,494,494,494
494,612,495,495,495,495
495,989,496,496,496,496
496,323,497,497,497,497
497,1504,498,498,498,498
498,1749,499,499,499,499
499,1465,500,500,500,500
500,1915,501,501,501,501
501,932,502,502,502,502
502,191,503,503,503,503
503,520,504,504,504,504
504,1458,505,505,505,505
505,1369,506,506,506,506
506,1667,507,507,507,507
507,355,508,508,508,508
508,523,509,509,509,509
509,698,510,510,510,510
510,59,511,511,511,511
511,214,512,512,512,512
512,911,513,513,513,513
513,411,514,514,514,514
514,1192,515,515,515,515
515,1359,516,516,516,516
516,1812,517,517,517,517
517,1524,518,518,518,518
518,1938,519,519,519,519
519,192,520,520,520,520
520,1249,521,521,521,521
521,1375,522,522,522,522
522,434,523,523,523,523
523,595,524,524,524,524
524,1598,525,525,525,525
525,1928,526,526,526,526
526,1792,527,527,527,527
527,1713,528,528,528,528
528,1607,529,529,529,529
529,1825,530,530,530,530
530,1118,531,531,531,531
531,77,532,532,532,532
532,178,533,533,533,533
533,1420,534,534,534,534
534,736,535,535,535,535
535,1434,536,536,536,536
536,982,537,537,537,537
537,1089,538,538,538,538
538,1405,539,539,539,539
539,1544,540,540,540,540
540,816,541,541,541,541
541,656,542,542,542,542
542,43,543,543,543,543
543,914,544,544,544,544
544,29,545,545,545,545
545,1381,546,546,546,546
546,1690,547,547,547,547
547,563,548,548,548,548
548,729,549,549,549,549
549,311,550,550,550,550
550,645,551,551,551,551
551,404,552,552,552,552
552,1259,553,553,553,553
553,260,554,554,554,554
554,1703,555,555,555,555
555,1250,556,556,556,556
556,299,557,557,557,557
557,1509,558,558,558,558
558,1687,559,559,559,559
559,1035,560,560,560,560
560,1820,561,561,561,561
561,1323,562,562,562,562
562,339,563,563,563,563
563,1207,564,564,564,564
564,147,565,565,565,565
565,859,566,566,566,566
566,602,567,567,567,567
567,835,568,568,568,568
568,553,569,569,569,569
569,410,570,570,570,570
570,1807,571,571,571,571
571,554,572,572,572,572
572,1047,573,573,573,573
573,1530,574,574,574,574
574,1425,575,575,575,575
575,166,576,576,576,576
576,471,577,577,577,577
577,1037,578,578,578,578
578,329,579,579,579,579
579,387,580,580,580,580
580,1428,581,581,581,581
581,171,582,582,582,582
582,960,583,583,583,583
583,1335,584,584,584,584
584,1380,585,585,585,585
585,301,586,586,586,586
586,699,587,587,587,587
587,994,588,588,588,588
588,121,589,589,589,589
589,47,590,590,590,590
590,1869,591,591,591,591
591,1003,592,592,592,592
592,1350,593,593,593,593
593,1019,594,594,594,594
594,1694,595,595,595,595
595,1276,596,596,596,596
596,1189,597,597,597,597
597,502,598,598,598,598
598,858,599,599,599,599
599,1945,600,600,600,600
600,1603,601,601,601,601
601,1093,602,602,602,602
602,789,603,603,603,603
603,1309,604,604,604,604
604,922,605,605,605,605
605,1417,606,606,606,606
606,941,607,607,607,607
607,1299,608,608,608,608
608,872,609,609,609,609
609,302,610,610,610,610
610,1621,611,611,611,611
611,328,612,612,612,612
612,264,613,613,613,613
613,1363,614,614,614,614
614,1277,615,615,615,615
615,324,616,616,616,616
616,670,617,617,617,617
617,132,618,618,618,618
618,1034,619,619,619,619
619,204,620,620,620,620
620,1169,621,621,621,621
621,556,622,622,622,622
622,95,623,623,623,623
623,1653,624,624,624,624
624,1115,625,625,625,625
625,583,626,626,626,626
626,569,627,627,627,627
627,1994,628,628,628,628
628,1285,629,629,629,629
629,927,630,630,630,630
630,69,631,631,631,631
631,1731,632,632,632,632
632,294,633,633,633,633
633,406,634,634,634,634
634,631,635,635,635,635
635,1769,636,636,636,636
636,1412,637,637,637,637
637,1215,638,638,638,638
638,947,639,639,639,639
639,155,640,640,640,640
640,1672,641,641,641,641
641,1171,642,642,642,642
642,1292,643,643,643,643
643,708,644,644,644,644
644,1106,645,645,645,645
645,1569,646,646,646,646
646,495,647,647,647,647
647,878,648,648,648,648
648,1178,649,649,649,649
649,390,650,650,650,650
650,1140,651,651,651,651
651,1032,652,652,652,652
652,1133,653,653,653,653
653,1161,654,654,654,654
654,209,655,655,655,655
655,56,656,656,656,656
656,1892,657,657,657,657
657,1908,658,658,658,658
658,1605,659,659,659,659
659,1759,660,660,660,660
660,1225,661,661,661,661
661,823,662,662,662,662
662,1200,663,663,663,663
663,472,664,664,664,664
664,266,665,665,665,665
665,1747,666,666,666,666
666,31,667,667,667,667
667,1472,668,668,668,668
668,876,669,669,669,669
669,255,670,670,670,670
670,544,671,671,671,671
671,1578,672,672,672,672
672,1584,673,673,673,673
673,1732,674,674,674,674
674,741,675,675,675,675
675,1602,676,676,676,676
676,1044,677,677,677,677
677,1132,678,678,678,678
678,498,679,679,679,679
679,337,680,680,680,680
680,1388,681,681,681,681
681,1407,682,682,682,682
682,1708,683,683,683,683
683,1183,684,684,684,684
684,875,685,685,685,685
685,346,686,686,686,686
686,1592,687,687,687,687
687,843,688,688,688,688
688,1493,689,689,689,689
689,1085,690,690,690,690
690,931,691,691,691,691
691,1676,692,692,692,692
692,252,693,693,693,693
693,1834,694,694,694,694
694,1949,695,695,695,695
695,275,696,696,696,696
696,830,697,697,697,697
697,1004,698,698,698,698
698,855,699,699,699,699
699,280,700,700,700,700
700,371,701,701,701,701
701,1482,702,702,702,702
702,1798,703,703,703,703
703,1811,704,704,704,704
704,1557,705,705,705,705
705,224,706,706,706,706
706,1014,707,707,707,707
707,1343,708,708,708,708
708,483,709,709,709,709
709,802,710,710,710,710
710,762,711,711,711,711
711,1692,712,712,712,712
712,232,713,713,713,713
713,1846,714,714,714,714
714,651,715,715,715,715
715,1779,716,716,716,716
716,312,717,717,717,717
717,1917,718,718,718,718
718,67,719,719,719,719
719,395,720,720,720,720
720,173,721,721,721,721
721,317,722,722,722,722
722,25,723,723,723,723
723,1619,724,724,724,724
724,1684,725,725,725,725
725,1613,726,726,726,726
726,1551,727,727,727,727
727,1177,728,728,728,728
728,293,729,729,729,729
729,130,730,730,730,730
730,1746,731,731,731,731
731,1490,732,732,732,732
732,611,733,733,733,733
733,1308,734,734,734,734
734,169,735,735,735,735
735,455,736,736,736,736
736,798,737,737,737,737
737,1745,738,738,738,738
738,1855,739,739,739,739
739,55,740,740,740,740
740,515,741,741,741,741
741,1111,742,742,742,742
742,1518,743,743,743,743
743,1819,744,744,744,744
744,2,745,745,745,745
745,1029,746,746,746,746
746,545,747,747,747,747
747,901,748,748,748,748
748,369,749,749,749,749
749,697,750,750,750,750
750,1422,751,751,751,751
751,1358,752,752,752,752
752,643,753,753,753,753
753,1743,754,754,754,754
754,18,755,755,755,755
755,857,756,756,756,756
756,1430,757,757,757,757
757,400,758,758,758,758
758,1040,759,759,759,759
759,349,760,760,760,760
760,646,761,761,761,761
761,1082,762,762,762,762
762,579,763,763,763,763
763,1575,764,764,764,764
764,1622,765,765,765,765
765,694,766,766,766,766
766,717,767,767,767,767
767,372,768,768,768,768
768,1981,769,769,769,769
769,52,770,770,770,770
770,992,771,771,771,771
771,1849,772,772,772,772
772,796,773,773,773,773
773,1199,774,774,774,774
774,956,775,775,775,775
775,1953,776,776,776,776
776,1234,777,777,777,777
777,733,778,778,778,778
778,1686,779,779,779,779
779,1315,780,780,780,780
780,549,781,781,781,781
781,1072,782,782,782,782
782,1084,783,783,783,783
783,1550,784,784,784,784
784,1916,785,785,785,785
785,1638,786,786,786,786
786,781,787,787,787,787
787,303,788,788,788,788
788,937,789,789,789,789
789,1236,790,790,790,790
790,1475,791,791,791,791
791,1851,792,792,792,792
792,1507,793,793,793,793
793,951,794,794,794,794
794,1963,795,795,795,795
795,655,796,796,796,796
796,1982,797,797,797,797
797,814,798,798,798,798
798,605,799,799,799,799
799,936,800,800,800,800
800,274,801,801,801,801
801,871,802,802,802,802
802,883,803,803,803,803
803,24,804,804,804,804
804,828,805,805,805,805
805,1670,806,806,806,806
806,1782,807,807,807,807
807,70,808,808,808,808
808,688,809,809,809,809
809,1935,810,810,810,810
810,1013,811,811,811,811
811,1473,812,812,812,812
812,1523,813,813,813,813
813,1144,814,814,814,814
814,1444,815,815,815,815
815,633,816,816,816,816
816,988,817,817,817,817
817,593,818,818,818,818
818,897,819,819,819,819
819,1149,820,820,820,820
820,1588,821,821,821,821
821,1773,822,822,822,822
822,288,823,823,823,823
823,1454,824,824,824,824
824,271,825,825,825,825
825,981,826,826,826,826
826,1787,827,827,827,827
827,1330,828,828,828,828
828,84,829,829,829,829
829,935,830,830,830,830
830,1172,831,831,831,831
831,1751,832,832,832,832
832,1197,833,833,833,833
833,1643,834,834,834,834
834,1290,835,835,835,835
835,757,836,836,836,836
836,61,837,837,837,837
837,456,838,838,838,838
838,555,839,839,839,839
839,1907,840,840,840,840
840,361,841,841,841,841
841,1468,842,842,842,842
842,1295,843,843,843,843
843,1948,844,844,844,844
844,900,845,845,845,845
845,272,846,846,846,846
846,215,847,847,847,847
847,980,848,848,848,848
848,1483,849,849,849,849
849,800,850,850,850,850
850,73,851,851,851,851
851,222,852,852,852,852
852,845,853,853,853,853
853,1895,854,854,854,854
854,1558,855,855,855,855
855,1501,856,856,856,856
856,151,857,857,857,857
857,63,858,858,858,858
858,1701,859,859,859,859
859,1135,860,860,860,860
860,533,861,861,861,861
861,808,862,862,862,862
862,1168,863,863,863,863
863,1617,864,864,864,864
864,1609,865,865,865,865
865,76,866,866,866,866
866,186,867,867,867,867
867,1328,868,868,868,868
868,1899,869,869,869,869
869,1734,870,870,870,870
870,1087,871,871,871,871
871,1449,872,872,872,872
872,415,873,873,873,873
873,1098,874,874,874,874
874,525,875,875,875,875
875,221,876,876,876,876
876,1611,877,877,877,877
877,1086,878,878,878,878
878,1927,879,879,879,879
879,64,880,880,880,880
880,577,881,881,881,881
881,1354,882,882,882,882
882,1324,883,883,883,883
883,790,884,884,884,884
884,1884,885,885,885,885
885,1229,886,886,886,886
886,107,887,887,887,887
887,716,888,888,888,888
888,1016,889,889,889,889
889,740,890,890,890,890
890,348,891,891,891,891
891,1957,892,892,892,892
892,1857,893,893,893,893
893,727,894,894,894,894
894,407,895,895,895,895
895,820,896,896,896,896
896,1080,897,897,897,897
897,818,898,898,898,898
898,613,899,899,899,899
899,1494,900,900,900,900
900,1722,901,901,901,901
901,822,902,902,902,902
902,1903,903,903,903,903
903,967,904,904,904,904
904,1548,905,905,905,905
905,785,906,906,906,906
906,1831,907,907,907,907
907,904,908,908,908,908
908,866,909,909,909,909
909,1338,910,910,910,910
910,1182,911,911,911,911
911,1166,912,912,912,912
912,1242,913,913,913,913
913,788,914,914,914,914
914,333,915,915,915,915
915,566,916,916,916,916
916,1327,917,917,917,917
917,1594,918,918,918,918
918,1245,919,919,919,919
919,101,920,920,920,920
920,1627,921,921,921,921
921,412,922,922,922,922
922,180,923,923,923,923
923,1567,924,924,924,924
924,1723,925,925,925,925
925,7,926,926,926,926
926,177,927,927,927,927
927,1446,928,928,928,928
928,1105,929,929,929,929
929,799,930,930,930,930
930,1633,931,931,931,931
931,877,932,932,932,932
932,576,933,933,933,933
933,1910,934,934,934,934
934,1244,935,935,935,935
935,959,936,936,936,936
936,1706,937,937,937,937
937,1702,938,938,938,938
938,1803,939,939,939,939
939,1348,940,940,940,940
940,1451,941,941,941,941
941,1240,942,942,942,942
942,1478,943,943,943,943
943,460,944,944,944,944
944,1164,945,945,945,945
945,366,946,946,946,946
946,850,947,947,947,947
947,899,948,948,948,948
948,522,949,949,949,949
949,1659,950,950,950,950
950,176,951,951,951,951
951,527,952,952,952,952
952,1361,953,953,953,953
953,537,954,954,954,954
954,1185,955,955,955,955
955,1697,956,956,956,956
956,659,957,957,957,957
957,675,958,958,958,958
958,466,959,959,959,959
959,1038,960,960,960,960
960,1051,961,961,961,961
961,1808,962,962,962,962
962,1508,963,963,963,963
963,21,964,964,964,964
964,1736,965,965,965,965
965,585,966,966,966,966
966,1880,967,967,967,967
967,906,968,968,968,968
968,383,969,969,969,969
969,1048,970,970,970,970
970,867,971,971,971,971
971,1919,972,972,972,972
972,1406,973,973,973,973
973,976,974,974,974,974
974,247,975,975,975,975
975,468,976,976,976,976
976,1399,977,977,977,977
977,315,978,978,978,978
978,146,979,979,979,979
979,1683,980,980,980,980
980,428,981,981,981,981
981,1805,982,982,982,982
982,236,983,983,983,983
983,1539,984,984,984,984
984,1357,985,985,985,985
985,1528,986,986,986,986
986,1830,987,987,987,987
987,318,988,988,988,988
988,479,989,989,989,989
989,1623,990,990,990,990
990,1865,991,991,991,991
991,928,992,992,992,992
992,1780,993,993,993,993
993,1785,994,994,994,994
994,1083,995,995,995,995
995,277,996,996,996,996
996,1101,997,997,997,997
997,1365,998,998,998,998
998,764,999,999,999,999
999,1947,1000,1000,1000,1000
1000,1228,1001,1001,1001,1001
1001,373,1002,1002,1002,1002
1002,336,1003,1003,1003,1003
1003,1001,1004,1004,1004,1004
1004,1739,1005,1005,1005,1005
1005,1130,1006,1006,1006,1006
1006,666,1007,1007,1007,1007
1007,464,1008,1008,1008,1008
1008,1254,1009,1009,1009,1009
1009,429,1010,1010,1010,1010
1010,1050,1011,1011,1011,1011
1011,475,1012,1012,1012,1012
1012,297,1013,1013,1013,1013
1013,1074,1014,1014,1014,1014
1014,777,1015,1015,1015,1015
1015,1179,1016,1016,1016,1016
1016,1423,1017,1017,1017,1017
1017,1238,1018,1018,1018,1018
1018,1664,1019,1019,1019,1019
1019,1281,1020,1020,1020,1020
1020,501,1021,1021,1021,1021
1021,1867,1022,1022,1022,1022
1022,1208,1023,1023,1023,1023
1023,197,1024,1024,1024,1024
1024,354,1025,1025,1025,1025
1025,1500,1026,1026,1026,1026
1026,1201,1027,1027,1027,1027
1027,942,1028,1028,1028,1028
1028,1771,1029,1029,1029,1029
1029,1590,1030,1030,1030,1030
1030,1107,1031,1031,1031,1031
1031,1293,1032,1032,1032,1032
1032,149,1033,1033,1033,1033
1033,1768,1034,1034,1034,1034
1034,807,1035,1035,1035,1035
1035,219,1036,1036,1036,1036
1036,1547,1037,1037,1037,1037
1037,1326,1038,1038,1038,1038
1038,75,1039,1039,1039,1039
1039,1778,1040,1040,1040,1040
1040,34,1041,1041,1041,1041
1041,700,1042,1042,1042,1042
1042,137,1043,1043,1043,1043
1043,713,1044,1044,1044,1044
1044,964,1045,1045,1045,1045
1045,1452,1046,1046,1046,1046
1046,1022,1047,1047,1047,1047
